nomen;revenu;agglo9;loc_log;stat_log;nb_voit;nb_tv;jardin;micro_onde;frigo;congelo;four;soins;situ_fin;situ_alim;manq_alim;viande;jard_potager;jard_verger;jard_pelouse;jard_poules;nbpers;sexe_chef;age_chefq;nbadu;nbenf;agglo5;ech;cspc;reg;pcschef;up;jard_rien;sitalim_regime;sitalim_temps;sitalim_argent;sitalim_depl;sitalim_rhf;sitalim_place;sitalim_autre;chef_diplo;chef_situprof;chef_statempl;chef_typempl;chef_atrav;chef_nbsal;tage_chef;pond_men;selcuileg;selcuivp;selcuivps;selcuioeuf;saliere;selcrud;typesel;chori;chprix;chlabel;chsani;chhabit;chmarq;chpres;chprod;chgout;chetiq;chnut;claim;inscuisson;insconserv;stokcons;micronde;consopc;dlcoeuf;dlcjamb;dlcsaum;dlcfrom;dlcpl;dlcyao;dlclaif;dlccrem;dlcvian;dlcpcsv;csvjamb;csvcharc;csvpc;csventrf;csvfromc;csvvian;nreprill;nreppate;nrepjamb;nrepsaum;nrepsauc;temp;thermo;tempfrig;alimcru;reste;puits;traiteau;traiteauch;traitcirc;traitusag;systion;systcharb;autsyst;fqtrait;entrprof;entrindi;chfacil;chnouv;chpub;nrchoix;traitnsp;nrtrait;systmemb;systmeca;systuv;systaut;systnsp;nrsyst;entrnsp
110006;6;1;3;2;1;3;1;1;1;1;1;2;4;1;4;1;1;2;1;2;2;1;59;2;0;1;1;16;2;7;110028;2;;;;;;;;2;4;3;2;1;;5;1.172518;1;3;1;1;4;4;2;2;1;2;2;2;2;2;2;1;2;2;4;2;1;1;3;1;2;1;2;3;1;3;1;2;1;2;2;3;2;1;3;1;3;3;2;2;1;9;2;10;2;2;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
110007;12;1;3;2;2;3;1;1;1;1;1;2;1;1;4;1;1;1;1;2;2;1;70;2;0;1;1;16;2;7;110028;2;;;;;;;;7;4;6;2;1;4;6;1.371343;4;4;4;4;4;4;1;2;2;1;1;2;2;2;2;2;1;2;1;1;1;1;3;2;1;1;1;1;7;1;1;1;7;7;2;2;6;6;3;1;2;2;1;2;5;4;2;4;2;1;3;1;2;1;2;2;1;;1;1;2;2;2;2;;2;;2;2;2;2;2;;2
110020;10;1;3;2;1;4;1;1;1;1;1;2;2;1;4;1;1;1;1;2;4;1;47;3;1;1;1;8;2;4;110034;2;;;;;;;;7;1;4;2;;;4;0.2924149;1;1;3;1;4;1;2;2;1;2;2;1;2;2;2;1;2;2;2;1;1;1;3;3;5;2;1;5;1;4;7;4;1;3;6;6;6;6;4;3;5;3;3;3;3;5;2;4;3;3;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
110021;6;2;3;2;1;3;1;2;1;1;1;2;4;1;2;1;1;1;1;2;2;1;79;2;0;2;1;17;2;7;111022;2;;;;;;;;5;5;6;2;1;2;7;0.35582;3;3;4;3;4;3;2;2;1;2;2;1;2;2;2;1;2;2;1;2;1;2;6;2;1;2;1;1;1;3;1;1;1;7;6;1;6;6;6;1;2;2;1;1;1;3;2;2;2;1;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
110025;7;2;3;2;1;4;1;1;1;1;1;2;2;1;4;1;2;2;1;2;2;1;46;2;0;2;1;8;2;4;111022;2;;;;;;;;10;1;3;1;;;4;0.3537949;1;1;1;2;3;3;2;2;1;2;2;1;2;2;2;1;2;2;2;2;2;2;4;3;1;1;1;1;2;4;1;4;1;2;6;6;6;2;4;2;5;5;5;2;5;16;1;;3;2;3;1;1;1;2;1;2;;1;2;1;2;2;2;;2;;2;2;2;2;2;;2
110034;4;3;1;2;1;2;2;2;1;1;1;2;2;1;4;1;;;;;1;2;61;1;0;2;1;16;2;7;111039;;;;;;;;;6;4;3;1;1;;6;1.243115;4;4;4;4;1;4;1;1;1;2;2;2;2;2;2;1;2;2;1;2;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;5;5;1;5;5;5;1;;1;1;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
110046;12;3;1;2;1;3;1;1;1;1;1;2;1;1;4;2;2;1;1;2;2;1;76;2;0;2;1;16;2;7;111039;2;;;;;;;;10;4;3;2;1;;7;1.02301;1;1;2;1;4;1;5;2;1;2;2;1;1;2;2;2;2;2;4;2;1;1;3;2;1;1;1;6;1;1;1;1;1;1;2;2;3;2;3;2;5;2;1;1;5;5;2;98;3;1;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
110057;10;6;3;2;2;3;1;1;1;1;1;2;1;1;4;1;2;1;1;2;2;1;53;2;0;3;1;7;2;4;112008;2;;;;;;;;9;1;3;2;;;5;0.3177672;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;1;2;1;2;2;2;2;3;3;3;7;1;2;2;3;7;7;1;2;3;2;6;3;3;2;5;5;5;2;1;4;1;;1;1;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
110067;13;9;1;4;3;2;2;1;1;1;1;2;2;1;4;1;;;;;4;1;38;2;2;5;1;6;2;3;114001;;;;;;;;;12;1;3;2;;;4;0.4422813;3;4;3;2;3;3;2;2;2;1;2;2;2;1;2;1;2;2;2;2;1;1;2;2;1;1;1;2;1;2;7;2;2;1;2;2;2;3;3;2;2;5;2;1;2;16;2;98;2;1;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
110071;9;9;1;4;3;1;2;1;1;1;1;2;4;1;4;1;;;;;2;2;32;1;1;5;1;9;2;4;114001;;;;;;;;;12;1;3;2;;;4;0.4422813;2;1;1;1;4;3;2;2;1;2;2;2;2;2;2;1;1;2;4;2;2;1;3;2;2;7;1;1;1;1;1;1;1;1;6;6;6;2;2;2;5;5;5;1;5;16;1;;3;1;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
110081;13;9;1;2;1;4;1;1;1;2;1;2;1;1;4;1;2;2;1;2;2;1;69;2;0;5;1;16;2;7;114001;2;;;;;;;;12;4;3;2;1;;6;0.8845626;1;2;1;1;4;1;2;2;2;2;2;2;2;1;2;1;1;2;4;2;3;1;3;3;1;1;7;1;1;1;1;1;1;1;2;2;1;1;3;2;3;5;3;5;5;16;1;;3;1;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
110110;6;9;1;4;3;2;2;1;1;1;1;1;3;2;4;3;;;;;1;2;29;1;0;5;1;9;2;4;114001;;1;2;1;2;2;2;2;12;1;3;2;;;3;0.8845626;1;2;1;1;3;2;2;2;1;2;2;1;2;2;2;1;2;2;2;2;2;1;3;4;1;2;7;3;7;5;1;4;2;7;2;6;6;6;6;1;5;5;3;5;5;16;1;;3;2;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
110113;12;9;1;2;1;2;2;1;1;1;1;2;1;1;4;1;;;;;3;2;35;2;1;5;1;6;2;3;114001;;;;;;;;;12;1;1;2;;;4;0.5897083;1;1;4;1;3;2;2;1;1;1;2;2;2;2;2;2;2;2;2;1;2;1;3;3;1;7;1;3;2;3;1;7;2;2;2;2;6;6;4;2;5;5;5;1;5;16;1;;2;1;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
110125;6;9;1;4;3;2;2;2;1;2;1;2;4;2;4;2;;;;;1;2;25;1;0;5;1;9;2;4;114001;;2;1;1;2;2;2;2;12;1;3;1;;;3;0.8845626;2;1;1;1;4;4;5;2;1;2;2;2;2;1;2;2;2;2;2;2;2;1;6;4;3;3;2;4;7;4;1;7;1;7;2;6;6;6;2;2;5;3;3;3;5;4;9;;3;2;3;3;;;;;;;;;;2;2;2;;;;;;;;;;
